# Time-averaged data for fix rdfid330
# TimeStep Number-of-rows
# Row c_myRDF330[1] c_myRDF330[2] c_myRDF330[4] c_myRDF330[6]
2000 1024
1 4.88281e-12 0 0 0
2 1.46484e-11 0 0 0
3 2.44141e-11 0 0 0
4 3.41797e-11 0 0 0
5 4.39453e-11 0 0 0
6 5.37109e-11 0 0 0
7 6.34766e-11 0 0 0
8 7.32422e-11 0 0 0
9 8.30078e-11 0 0 0
10 9.27734e-11 0 0 0
11 1.02539e-10 0 0 0
12 1.12305e-10 0 0 0
13 1.2207e-10 0 0 0
14 1.31836e-10 0 0 0
15 1.41602e-10 0 0 0
16 1.51367e-10 0 0 0
17 1.61133e-10 0 0 0
18 1.70898e-10 0 0 0
19 1.80664e-10 0 0 0
20 1.9043e-10 0 0 0
21 2.00195e-10 0 0 0
22 2.09961e-10 0 0 0
23 2.19727e-10 0 0 0
24 2.29492e-10 0 0 0
25 2.39258e-10 0 0 0
26 2.49023e-10 0 0 0
27 2.58789e-10 0 0 0
28 2.68555e-10 0 0 0
29 2.7832e-10 0 0 0
30 2.88086e-10 0 0 0
31 2.97852e-10 0.0441293 0 0
32 3.07617e-10 0.0275814 0 0
33 3.17383e-10 0.0194328 0 0
34 3.27148e-10 0.0121933 0 0
35 3.36914e-10 0.120716 0 0
36 3.4668e-10 0.0814367 0 0
37 3.56445e-10 0.112986 0 0
38 3.66211e-10 0.262736 0 0
39 3.75977e-10 0.175409 0 0
40 3.85742e-10 0.23242 0 0
41 3.95508e-10 0.262799 0 0
42 4.05273e-10 0.222477 0 0
43 4.15039e-10 0.159098 0 0
44 4.24805e-10 0.401365 0 0
45 4.3457e-10 0.497552 0 0
46 4.44336e-10 0.611429 0 0
47 4.54102e-10 0.42403 0 0
48 4.63867e-10 0.515537 0 0
49 4.73633e-10 0.779562 0 0
50 4.83398e-10 0.511023 0 0
51 4.93164e-10 0.466839 0 0
52 5.0293e-10 0.536599 0 0
53 5.12695e-10 0.86638 0 0
54 5.22461e-10 0.724331 0 0
55 5.32227e-10 0.63119 0 0
56 5.41992e-10 0.688618 0 0
57 5.51758e-10 0.651598 0 0
58 5.61523e-10 0.734677 0.00206744 0
59 5.71289e-10 0.697779 0.00299605 0
60 5.81055e-10 0.610742 0.00193079 0
61 5.9082e-10 0.581372 0.00186749 0
62 6.00586e-10 0.645837 0.00271089 0
63 6.10352e-10 0.802252 0.0078745 0
64 6.20117e-10 0.865423 0.0542467 0
65 6.29883e-10 0.71051 0.0262889 0
66 6.39648e-10 0.696955 0.0215091 0
67 6.49414e-10 0.694719 0.0332328 0
68 6.5918e-10 0.869516 0.041257 0
69 6.68945e-10 0.79036 0.0364193 0
70 6.78711e-10 0.692702 0.028303 0
71 6.88477e-10 0.76818 0.0220046 0
72 6.98242e-10 0.825811 0.0688602 0
73 7.08008e-10 1.1052 0.0578705 0
74 7.17773e-10 1.01706 0.0474493 0
75 7.27539e-10 1.08364 0.0369473 0
76 7.37305e-10 1.15595 0.0485663 0
77 7.4707e-10 1.06864 0.0420488 0
78 7.56836e-10 0.914788 0.0631631 0
79 7.66602e-10 1.01044 0.0820855 0
80 7.76367e-10 1.01874 0.136814 0
81 7.86133e-10 0.917565 0.0959896 0
82 7.95898e-10 1.03013 0.146133 0
83 8.05664e-10 1.01134 0.133573 0
84 8.1543e-10 1.20219 0.130393 0
85 8.25195e-10 1.21703 0.143121 0
86 8.34961e-10 1.21119 0.146806 0
87 8.44727e-10 1.41288 0.158048 0
88 8.54492e-10 1.30034 0.145082 0
89 8.64258e-10 1.27898 0.188514 0
90 8.74023e-10 1.35221 0.208645 0
91 8.83789e-10 1.33252 0.212406 0
92 8.93555e-10 1.33134 0.206155 0
93 9.0332e-10 1.30351 0.199325 0
94 9.13086e-10 1.18342 0.203295 0
95 9.22852e-10 1.21904 0.171076 0
96 9.32617e-10 1.17489 0.219977 0
97 9.42383e-10 1.33362 0.293617 0
98 9.52148e-10 1.29777 0.396204 0
99 9.61914e-10 1.27578 0.388904 0
100 9.7168e-10 1.16871 0.438434 0
101 9.81445e-10 1.26887 0.538713 0
102 9.91211e-10 1.28384 0.539762 0
103 1.00098e-09 1.20681 0.562788 0
104 1.01074e-09 1.41164 0.589295 0
105 1.02051e-09 1.2776 0.624705 0
106 1.03027e-09 1.14899 0.628272 0
107 1.04004e-09 1.14742 0.63039 0
108 1.0498e-09 1.11611 0.671361 0
109 1.05957e-09 1.15956 0.706946 0
110 1.06934e-09 1.24976 0.744547 0
111 1.0791e-09 1.37238 0.710698 0
112 1.08887e-09 1.21524 0.68866 0
113 1.09863e-09 1.18292 0.738583 0
114 1.1084e-09 1.25618 0.796464 0
115 1.11816e-09 1.19519 0.855087 0
116 1.12793e-09 1.19766 0.872882 0
117 1.1377e-09 1.26945 0.923939 0
118 1.14746e-09 1.20581 0.927341 0
119 1.15723e-09 1.13194 0.848473 0
120 1.16699e-09 1.3517 0.863053 0
121 1.17676e-09 1.15924 0.877975 0
122 1.18652e-09 1.21996 0.93304 0
123 1.19629e-09 1.14313 0.987563 0
124 1.20605e-09 1.074 1.00951 0.00269172
125 1.21582e-09 1.12656 1.01276 0.0145676
126 1.22559e-09 1.11389 1.07459 0.00781983
127 1.23535e-09 1.18101 1.09248 0.00598631
128 1.24512e-09 1.16761 1.09202 0.00463004
129 1.25488e-09 1.05337 1.09372 0.0273495
130 1.26465e-09 1.11795 1.10298 0.0252967
131 1.27441e-09 1.06995 1.07711 0.0606692
132 1.28418e-09 1.03316 1.08154 0.0332384
133 1.29395e-09 0.997358 1.19357 0.0272822
134 1.30371e-09 1.0224 1.2097 0.0188125
135 1.31348e-09 0.992881 1.19896 0.039337
136 1.32324e-09 1.15567 1.25262 0.0339137
137 1.33301e-09 1.1153 1.22058 0.0319497
138 1.34277e-09 1.02531 1.28641 0.0593541
139 1.35254e-09 1.08083 1.24812 0.102019
140 1.3623e-09 1.00878 1.20746 0.0805192
141 1.37207e-09 1.02428 1.21128 0.05546
142 1.38184e-09 0.93125 1.2002 0.0451101
143 1.3916e-09 0.942824 1.24114 0.0566099
144 1.40137e-09 0.969271 1.27536 0.0993528
145 1.41113e-09 0.968355 1.20473 0.0756988
146 1.4209e-09 0.956383 1.26879 0.119265
147 1.43066e-09 0.991831 1.25997 0.168015
148 1.44043e-09 0.975912 1.25048 0.124544
149 1.4502e-09 0.918132 1.38233 0.171587
150 1.45996e-09 0.957017 1.34922 0.132562
151 1.46973e-09 0.936789 1.32109 0.208444
152 1.47949e-09 1.01718 1.30549 0.309446
153 1.48926e-09 0.999174 1.34413 0.359244
154 1.49902e-09 0.968774 1.29461 0.353416
155 1.50879e-09 0.975766 1.27247 0.33395
156 1.51855e-09 0.979386 1.28541 0.328254
157 1.52832e-09 1.01887 1.29723 0.377992
158 1.53809e-09 0.986668 1.23754 0.409617
159 1.54785e-09 1.0448 1.20932 0.427071
160 1.55762e-09 0.966651 1.29107 0.468264
161 1.56738e-09 0.950659 1.24439 0.459259
162 1.57715e-09 0.912164 1.19312 0.511305
163 1.58691e-09 0.921961 1.26157 0.503736
164 1.59668e-09 0.947064 1.30718 0.566447
165 1.60645e-09 1.00563 1.25319 0.60105
166 1.61621e-09 1.07545 1.24221 0.572824
167 1.62598e-09 1.06553 1.26802 0.670864
168 1.63574e-09 0.999193 1.35086 0.679705
169 1.64551e-09 0.999419 1.30286 0.634066
170 1.65527e-09 0.948602 1.25267 0.717584
171 1.66504e-09 0.930446 1.26318 0.728728
172 1.6748e-09 0.92335 1.2335 0.817266
173 1.68457e-09 0.949007 1.1965 0.943488
174 1.69434e-09 0.995154 1.21136 0.892183
175 1.7041e-09 0.943108 1.30224 0.826034
176 1.71387e-09 0.955273 1.26591 0.87974
177 1.72363e-09 0.916364 1.2922 0.891984
178 1.7334e-09 0.958191 1.19773 1.03594
179 1.74316e-09 0.991295 1.22855 0.95672
180 1.75293e-09 0.971786 1.22763 1.13297
181 1.7627e-09 0.961678 1.16224 1.2681
182 1.77246e-09 1.01425 1.19045 1.12683
183 1.78223e-09 0.958384 1.16687 1.26223
184 1.79199e-09 0.929271 1.23589 1.0955
185 1.80176e-09 0.891486 1.17544 1.20949
186 1.81152e-09 0.885678 1.2071 1.21835
187 1.82129e-09 0.957256 1.15961 1.23601
188 1.83105e-09 0.897247 1.13483 1.16837
189 1.84082e-09 0.936665 1.17139 1.22976
